Region,Year,annual_rainfall_mm,rainfall_std_mm,mean_temp_C,max_temp_C,min_temp_C
South_West,2000,1209.8600000000001,94.80887682196443,24.932387838338894,34.46,13.97
South_West,2001,1406.38,102.12990345039928,25.20091250640041,34.76,14.33
South_West,2002,1449.19,99.38980654321131,25.296080645161293,35.5,13.59
South_West,2003,1545.68,103.33956140566472,25.28420462109575,34.5,14.2
South_West,2004,1797.3,112.05105252842239,25.218324774440735,33.21,16.15
South_West,2005,1117.21,88.22555293196817,25.24771646185356,32.86,12.3
South_West,2006,1599.36,148.40835874523557,25.44245583717358,35.43,14.81
South_West,2007,1812.26,129.3225296995028,24.997575972862265,34.06,12.46
South_West,2008,1683.06,146.4433494874073,24.868079934495118,32.33,12.9
South_West,2009,1585.56,100.16572830700493,25.230989055299542,32.68,16.16
South_West,2010,2080.83,132.3535695933091,25.4178886968766,33.54,15.66
South_West,2011,1645.73,100.69105805368069,24.986988543266765,32.21,13.39
South_West,2012,1970.4199999999998,116.8477992038698,24.875927264862195,32.47,14.55
South_West,2013,1407.8,68.41347333189078,25.048374167946747,32.31,13.97
South_West,2014,1858.31,103.79669660694964,25.31204403481823,33.54,15.42
South_West,2015,1329.86,80.65205445541228,25.092735151049666,33.47,11.06
South_West,2016,1690.92,124.56947356978974,25.62304804721295,35.74,14.58
South_West,2017,1676.8,102.54259339711506,25.431983294930877,33.45,16.68
South_West,2018,1990.12,153.92819042027554,25.141526433691755,33.06,13.07
South_West,2019,2257.17,159.31057119093452,25.437336533538144,32.53,14.15
South_West,2020,1568.36,123.38027205892088,25.242626220491903,33.63,12.98
South_West,2021,2405.57,165.26870981736673,25.46268701996928,33.68,16.08
South_West,2022,2188.7200000000003,155.4471182418541,25.016105734767024,33.39,13.4
South_West,2023,2213.93,139.02130081775456,25.55678680235535,33.52,14.97
